ORIGINATION_DATE,PRODUCTION,PMMS30_LAG1,PMMS30_LAG2,PMMS30_LAG3,US_NSA_LAG1,US_NSA_LAG2,US_NSA_LAG3,LTV_AVG,RATE_DELTA
2000-01-01,64,7.912,7.738,7.852,135.62,135.33,135.10,88.109375,-0.19804687500
2000-02-01,52,8.210,7.912,7.738,136.94,135.62,135.33,91.980769,-0.11778846154
2000-03-01,65,8.325,8.210,7.912,136.71,136.94,135.62,85.984375,-0.04987692308
2000-04-01,63,8.240,8.325,8.210,138.28,136.71,136.94,87.761905,0.17830158730
2000-05-01,76,8.153,8.240,8.325,139.58,138.28,136.71,88.328947,-0.16346052632
2000-06-01,66,8.515,8.153,8.240,140.69,139.58,138.28,90.833333,0.09540909091
2000-07-01,73,8.288,8.515,8.153,142.12,140.69,139.58,92.739726,0.13076712329
2000-08-01,102,8.148,8.288,8.515,142.83,142.12,140.69,87.862745,0.22842156863
2000-09-01,85,8.028,8.148,8.288,143.27,142.83,142.12,89.588235,0.16354117647
2000-10-01,86,7.912,8.028,8.148,143.87,143.27,142.83,92.593023,0.28715116279
2000-11-01,103,7.795,7.912,8.028,144.33,143.87,143.27,88.961165,0.38058252427
2000-12-01,110,7.745,7.795,7.912,144.80,144.33,143.87,87.645455,0.53499090909
2001-01-01,146,7.382,7.745,7.795,145.23,144.80,144.33,83.047945,0.45090410959
2001-02-01,215,7.033,7.382,7.745,145.85,145.23,144.80,83.781395,0.15149302326
2001-03-01,326,7.050,7.033,7.382,146.81,145.85,145.23,84.039877,0.30381595092
2001-04-01,312,6.952,7.050,7.033,148.12,146.81,145.85,83.480769,0.23812179487
2001-05-01,317,7.078,6.952,7.050,149.40,148.12,146.81,81.514196,0.24563091483
2001-06-01,297,7.145,7.078,6.952,150.64,149.40,148.12,83.783051,0.30723905724
2001-07-01,325,7.160,7.145,7.078,151.88,150.64,149.40,83.864615,0.28506153846
2001-08-01,359,7.128,7.160,7.145,152.74,151.88,150.64,84.197772,0.37087743733
2001-09-01,351,6.950,7.128,7.160,153.32,152.74,151.88,83.116809,0.28461538462
2001-10-01,489,6.818,6.950,7.128,153.85,153.32,152.74,84.829569,0.27220245399
2001-11-01,505,6.618,6.818,6.950,154.43,153.85,153.32,83.684524,0.07360396040
2001-12-01,475,6.658,6.618,6.818,154.40,154.43,153.85,81.616842,-0.05287368421
2002-01-01,400,7.065,6.658,6.618,154.94,154.40,154.43,80.527500,0.07018750000
2002-02-01,343,6.998,7.065,6.658,155.45,154.94,154.40,80.140351,0.23172303207
2002-03-01,409,6.893,6.998,7.065,156.33,155.45,154.94,79.977833,0.09111002445
2002-04-01,403,7.014,6.893,6.998,157.88,156.33,155.45,83.622829,0.11373449132
2002-05-01,435,6.985,7.014,6.893,159.19,157.88,156.33,84.073733,0.22898390805
2002-06-01,409,6.806,6.985,7.014,160.92,159.19,157.88,83.728606,0.23435941320
2002-07-01,511,6.650,6.806,6.985,162.48,160.92,159.19,83.780822,0.27227984344
2002-08-01,635,6.485,6.650,6.806,163.56,162.48,160.92,81.390551,0.30844881890
2002-09-01,787,6.290,6.485,6.650,164.47,163.56,162.48,80.734097,0.35532274460
2002-10-01,999,6.093,6.290,6.485,165.18,164.47,163.56,80.232698,0.23199699700
