title_median_salary,total_yrs_exp,company_yrs_exp,total_comp,pop_city_greater_65K,state_median_income,faang,Business,Engineering,Technology
195750,1,1,120000,1,78672,0,0,1,0
195750,11,1,240000,1,57703,0,0,1,0
195750,11,4,170000,1,63826,0,0,1,0
195750,0,0,101500,1,61224,0,0,1,0
195750,24,2,216000,1,63826,0,0,1,0
195750,15,2,210000,1,78672,0,0,1,0
195750,6,1,319000,1,90842,1,0,1,0
195750,4,2,242600,1,78672,0,0,1,0
195750,3,3,93000,0,59234,0,0,1,0
195750,5,1,115003,1,71117,1,0,1,0
195750,15,11,135000,1,63826,0,0,1,0
195750,4,0,142500,1,78672,0,0,1,0
195750,10,4,351740,1,54864,0,0,1,0
195750,5,1,95000,0,63627,0,0,1,0
195750,6,0,134750,1,58915,0,0,1,0
195750,4,0,198000,1,71117,0,0,1,0
195750,3,1,205000,1,71117,0,0,1,0
195750,10,10,195000,1,70305,0,0,1,0
195750,18,10,175000,1,63826,0,0,1,0
195750,15,3,160000,1,61529,0,0,1,0
195750,10,4,160000,1,63627,0,0,1,0
195750,4,4,182756,1,90842,0,0,1,0
195750,2,1,125000,1,57703,0,0,1,0
195750,12,5,185000,1,73382,0,0,1,0
195750,10,1,170000,1,63826,0,0,1,0
195750,7,2,346000,1,78672,0,0,1,0
195750,10,4,95000,1,58235,0,0,1,0
195750,10,1,260000,1,78672,0,0,1,0
195750,3,3,70500,1,58116,0,0,1,0
195750,2,2,80000,1,90842,0,0,1,0
195750,5,2,275000,1,78672,0,0,1,0
195750,2,1,150000,1,78672,0,0,1,0
195750,1,1,149500,1,71117,0,0,1,0
195750,3,3,130000,1,77006,0,0,1,0
195750,10,4,284000,1,78672,1,0,1,0
195750,1,1,90000,1,75231,0,0,1,0
195750,5,5,92000,1,63826,0,0,1,0
195750,5,1,110000,1,84385,0,0,1,0
195750,3,3,143000,1,90842,0,0,1,0
195750,18,4,274000,1,78672,0,0,1,0
195750,5,1,200000,0,57290,0,0,1,0
195750,10,1,249280,1,78672,0,0,1,0
195750,18,4,156000,1,63826,0,0,1,0
195750,5,3,145000,1,71117,0,0,1,0
195750,25,1,220000,1,57703,0,0,1,0
195750,0,0,120000,1,78672,0,0,1,0
195750,15,2,310000,1,71117,0,0,1,0
195750,1,1,151000,1,71117,0,0,1,0
195750,3,0,150000,1,57703,0,0,1,0
195750,7,0,237500,1,76398,0,0,1,0
195750,2,2,135000,1,78672,0,0,1,0
195750,4,4,169000,1,63826,0,0,1,0
195750,8,7,195000,1,78672,0,0,1,0
195750,10,10,150000,1,63826,0,0,1,0
195750,4,1,183000,1,77006,0,0,1,0
195750,13,0,370000,1,68428,1,0,1,0
195750,3,2,139000,1,78672,0,0,1,0
195750,15,4,523000,1,71117,1,0,1,0
195750,11,10,250000,1,90842,0,0,1,0
195750,5,2,445000,1,71117,0,0,1,0
195750,5,5,297000,1,71117,0,0,1,0
195750,5,2,199000,1,71117,1,0,1,0
195750,2,2,135000,1,68428,0,0,1,0
195750,20,8,325000,1,71117,0,0,1,0
195750,1,1,99000,1,63826,0,0,1,0
195750,5,2,250000,1,78672,1,0,1,0
195750,6,2,230000,1,78672,1,0,1,0
195750,10,0,185000,1,63826,0,0,1,0
161000,1,1,140000,1,78672,0,0,0,1
161000,12,4,120000,1,63826,0,0,0,1
161000,0,0,231250,1,77006,0,0,0,1
161000,6,2,310000,1,77006,1,0,0,1
161000,16,1,299000,1,78672,0,0,0,1
161000,8,4,182500,0,75231,0,0,0,1
161000,7,7,450000,0,78672,1,0,0,1
161000,12,0,465000,1,77006,0,0,0,1
161000,5,0,134567,1,71117,0,0,0,1
161000,10,2,155000,0,75231,0,0,0,1
161000,13,5,150000,1,78672,0,0,0,1
